ZIP Code,Type,City,County,Area Codes
ZIP Code 74004,Unique,Bartlesville,Washington,918
ZIP Code 74005,P.O. Box,Bartlesville,Washington,918
ZIP Code 74006,Standard,Bartlesville,Washington,918
ZIP Code 74008,Standard,Bixby,Tulsa,918
ZIP Code 74010,Standard,Bristow,Creek,918
ZIP Code 74011,Standard,Broken Arrow,Tulsa,918
ZIP Code 74012,Standard,Broken Arrow,Tulsa,918
ZIP Code 74013,P.O. Box,Broken Arrow,Tulsa,918
ZIP Code 74014,Standard,Broken Arrow,Wagoner,918
ZIP Code 74015,Standard,Catoosa,Rogers,918
ZIP Code 74016,Standard,Chelsea,Rogers,918
ZIP Code 74017,Standard,Claremore,Rogers,918
ZIP Code 74018,P.O. Box,Claremore,Rogers,918
ZIP Code 74019,Standard,Claremore,Rogers,918
ZIP Code 74020,Standard,Cleveland,Pawnee,918
ZIP Code 74021,Standard,Collinsville,Tulsa,918
ZIP Code 74022,Standard,Copan,Washington,918
ZIP Code 74023,Standard,Cushing,Payne,918
ZIP Code 74026,P.O. Box,Davenport,Lincoln,405ÿ/ÿ918
ZIP Code 74027,Standard,Delaware,Nowata,918
ZIP Code 74028,Standard,Depew,Creek,918
ZIP Code 74029,Standard,Dewey,Washington,918
ZIP Code 74030,Standard,Drumright,Creek,918
ZIP Code 74031,P.O. Box,Foyil,Rogers,918
ZIP Code 74032,Standard,Glencoe,Payne,580
ZIP Code 74033,Standard,Glenpool,Tulsa,918
ZIP Code 74034,P.O. Box,Hallett,Pawnee,918
ZIP Code 74035,Standard,Hominy,Osage,918
ZIP Code 74036,Standard,Inola,Rogers,918
ZIP Code 74037,Standard,Jenks,Tulsa,918
ZIP Code 74038,Standard,Jennings,Pawnee,918
ZIP Code 74039,Standard,Kellyville,Creek,918
ZIP Code 74041,Standard,Kiefer,Creek,918
ZIP Code 74042,Standard,Lenapah,Nowata,918
ZIP Code 74043,P.O. Box,Leonard,Tulsa,918
ZIP Code 74044,Standard,Mannford,Creek,918
ZIP Code 74045,Standard,Maramec,Pawnee,918
ZIP Code 74046,P.O. Box,Milfay,Creek,918
ZIP Code 74047,Standard,Mounds,Creek,918
ZIP Code 74048,Standard,Nowata,Nowata,918
ZIP Code 74050,P.O. Box,Oakhurst,Tulsa,918
ZIP Code 74051,Standard,Ochelata,Washington,918
ZIP Code 74052,P.O. Box,Oilton,Creek,918
ZIP Code 74053,Standard,Oologah,Rogers,918
ZIP Code 74054,Standard,Osage,Osage,918
ZIP Code 74055,Standard,Owasso,Tulsa,918
ZIP Code 74056,Standard,Pawhuska,Osage,918
ZIP Code 74058,Standard,Pawnee,Pawnee,918
ZIP Code 74059,Standard,Perkins,Payne,405ÿ/ÿ918
ZIP Code 74060,Standard,Prue,Osage,918
ZIP Code 74061,Standard,Ramona,Washington,918
ZIP Code 74062,Standard,Ripley,Payne,405ÿ/ÿ918
ZIP Code 74063,Standard,Sand Springs,Tulsa,918
ZIP Code 74066,Standard,Sapulpa,Creek,918
ZIP Code 74067,P.O. Box,Sapulpa,Creek,918
ZIP Code 74068,P.O. Box,Shamrock,Creek,918
ZIP Code 74070,Standard,Skiatook,Tulsa,918
ZIP Code 74071,P.O. Box,Slick,Creek,918
ZIP Code 74072,Standard,S Coffeyville,Nowata,918
ZIP Code 74073,Standard,Sperry,Tulsa,918
ZIP Code 74074,Standard,Stillwater,Payne,405
ZIP Code 74075,Standard,Stillwater,Payne,405
ZIP Code 74076,P.O. Box,Stillwater,Payne,405
ZIP Code 74077,Unique,Stillwater,Payne,405
ZIP Code 74078,Unique,Stillwater,Payne,405
ZIP Code 74079,Standard,Stroud,Lincoln,918
ZIP Code 74080,Standard,Talala,Rogers,918
ZIP Code 74081,Standard,Terlton,Pawnee,918
ZIP Code 74082,P.O. Box,Vera,Washington,918
ZIP Code 74083,Standard,Wann,Nowata,918
ZIP Code 74084,Standard,Wynona,Osage,918
ZIP Code 74085,Standard,Yale,Payne,918
ZIP Code 74102,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74103,Standard,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74104,Standard,Tulsa,Tulsa,918
ZIP Code 74105,Standard,Tulsa,Tulsa,918
ZIP Code 74106,Standard,Tulsa,Tulsa,918
ZIP Code 74107,Standard,Tulsa,Tulsa,918
ZIP Code 74108,Standard,Tulsa,Tulsa,918
ZIP Code 74110,Standard,Tulsa,Tulsa,918
ZIP Code 74112,Standard,Tulsa,Tulsa,918
ZIP Code 74114,Standard,Tulsa,Tulsa,918
ZIP Code 74115,Standard,Tulsa,Tulsa,918
ZIP Code 74116,Standard,Tulsa,Tulsa,918
ZIP Code 74117,Standard,Tulsa,Tulsa,918
ZIP Code 74119,Standard,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74120,Standard,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74121,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74126,Standard,Tulsa,Tulsa,918
ZIP Code 74127,Standard,Tulsa,Tulsa,918
ZIP Code 74128,Standard,Tulsa,Tulsa,918
ZIP Code 74129,Standard,Tulsa,Tulsa,918
ZIP Code 74130,Standard,Tulsa,Tulsa,918
ZIP Code 74131,Standard,Tulsa,Creek,918
ZIP Code 74132,Standard,Tulsa,Tulsa,918
ZIP Code 74133,Standard,Tulsa,Tulsa,918
ZIP Code 74134,Standard,Tulsa,Tulsa,918
ZIP Code 74135,Standard,Tulsa,Tulsa,918
ZIP Code 74136,Standard,Tulsa,Tulsa,918
ZIP Code 74137,Standard,Tulsa,Tulsa,918
ZIP Code 74141,Unique,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74145,Standard,Tulsa,Tulsa,918
ZIP Code 74146,Standard,Tulsa,Tulsa,918
ZIP Code 74147,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74148,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74149,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74150,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74152,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74153,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74155,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74156,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74157,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74158,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74159,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74169,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74170,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74171,Unique,Tulsa,Tulsa,918
ZIP Code 74172,Standard,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74182,Unique,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74186,Unique,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74187,Unique,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74192,Unique,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74193,Unique,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74301,Standard,Vinita,Craig,918
ZIP Code 74330,Standard,Adair,Mayes,918
ZIP Code 74331,Standard,Afton,Ottawa,918
ZIP Code 74332,Standard,Big Cabin,Craig,918
ZIP Code 74333,Standard,Bluejacket,Craig,918
ZIP Code 74335,P.O. Box,Cardin,Ottawa,918
ZIP Code 74337,Standard,Chouteau,Mayes,918
ZIP Code 74338,Standard,Colcord,Delaware,918
ZIP Code 74339,Standard,Commerce,Ottawa,918
ZIP Code 74340,P.O. Box,Disney,Mayes,918
ZIP Code 74342,Standard,Eucha,Delaware,918
ZIP Code 74343,Standard,Fairland,Ottawa,918
ZIP Code 74344,Standard,Grove,Delaware,918
ZIP Code 74345,P.O. Box,Grove,Delaware,918
ZIP Code 74346,Standard,Jay,Delaware,918
ZIP Code 74347,Standard,Kansas,Delaware,918
ZIP Code 74349,P.O. Box,Ketchum,Mayes,918
ZIP Code 74350,P.O. Box,Langley,Mayes,918
ZIP Code 74352,Standard,Locust Grove,Mayes,918
ZIP Code 74354,Standard,Miami,Ottawa,918
ZIP Code 74355,P.O. Box,Miami,Ottawa,918
ZIP Code 74358,P.O. Box,North Miami,Ottawa,918
ZIP Code 74359,Standard,Oaks,Delaware,918
ZIP Code 74361,Standard,Pryor,Mayes,918
ZIP Code 74362,P.O. Box,Pryor,Mayes,918
ZIP Code 74363,Standard,Quapaw,Ottawa,918
ZIP Code 74364,Standard,Rose,Mayes,918
ZIP Code 74365,Standard,Salina,Mayes,918
ZIP Code 74366,Standard,Spavinaw,Mayes,918
ZIP Code 74367,Standard,Strang,Mayes,918
ZIP Code 74368,Standard,Twin Oaks,Delaware,918
ZIP Code 74369,Standard,Welch,Craig,918
ZIP Code 74370,Standard,Wyandotte,Ottawa,918
ZIP Code 74401,Standard,Muskogee,Muskogee,918
ZIP Code 74402,P.O. Box,Muskogee,Muskogee,918
ZIP Code 74403,Standard,Muskogee,Muskogee,918
ZIP Code 74421,Standard,Beggs,Okmulgee,918
ZIP Code 74422,Standard,Boynton,Muskogee,918
ZIP Code 74423,Standard,Braggs,Muskogee,918
ZIP Code 74425,Standard,Canadian,Pittsburg,918
ZIP Code 74426,Standard,Checotah,Mcintosh,918
ZIP Code 74427,Standard,Cookson,Cherokee,918
ZIP Code 74428,Standard,Council Hill,Muskogee,918
ZIP Code 74429,Standard,Coweta,Wagoner,918
ZIP Code 74430,P.O. Box,Crowder,Pittsburg,918
ZIP Code 74431,P.O. Box,Dewar,Okmulgee,918
ZIP Code 74432,Standard,Eufaula,Mcintosh,918
ZIP Code 74434,Standard,Fort Gibson,Muskogee,918
ZIP Code 74435,Standard,Gore,Sequoyah,918
ZIP Code 74436,Standard,Haskell,Muskogee,918
ZIP Code 74437,Standard,Henryetta,Okmulgee,918
ZIP Code 74438,P.O. Box,Hitchita,Mcintosh,918
ZIP Code 74439,P.O. Box,Braggs,Muskogee,918
ZIP Code 74440,P.O. Box,Hoyt,Haskell,918
ZIP Code 74441,Standard,Hulbert,Cherokee,918
ZIP Code 74442,Standard,Indianola,Pittsburg,918
ZIP Code 74444,P.O. Box,Moodys,Cherokee,918
ZIP Code 74445,Standard,Morris,Okmulgee,918
ZIP Code 74446,P.O. Box,Okay,Wagoner,918
ZIP Code 74447,Standard,Okmulgee,Okmulgee,918
ZIP Code 74450,Standard,Oktaha,Muskogee,918
ZIP Code 74451,Standard,Park Hill,Cherokee,918
ZIP Code 74452,Standard,Peggs,Cherokee,918
ZIP Code 74454,Standard,Porter,Wagoner,918
ZIP Code 74455,Standard,Porum,Muskogee,918
ZIP Code 74456,P.O. Box,Preston,Okmulgee,918
ZIP Code 74457,Standard,Proctor,Adair,918
ZIP Code 74458,P.O. Box,Redbird,Wagoner,918
ZIP Code 74459,P.O. Box,Rentiesville,Mcintosh,918
ZIP Code 74460,P.O. Box,Schulter,Okmulgee,918
ZIP Code 74461,Standard,Stidham,Mcintosh,918
ZIP Code 74462,Standard,Stigler,Haskell,918
ZIP Code 74463,P.O. Box,Taft,Muskogee,918
ZIP Code 74464,Standard,Tahlequah,Cherokee,918
ZIP Code 74465,P.O. Box,Tahlequah,Cherokee,918
ZIP Code 74467,Standard,Wagoner,Wagoner,918
ZIP Code 74468,P.O. Box,Wainwright,Muskogee,918
ZIP Code 74469,Standard,Warner,Muskogee,918
ZIP Code 74470,Standard,Webbers Falls,Muskogee,918
ZIP Code 74471,Standard,Welling,Cherokee,918
ZIP Code 74472,Standard,Whitefield,Haskell,918
ZIP Code 74477,P.O. Box,Wagoner,Wagoner,918
ZIP Code 74501,Standard,Mcalester,Pittsburg,918
ZIP Code 74502,P.O. Box,Mcalester,Pittsburg,918
ZIP Code 74521,P.O. Box,Albion,Pushmataha,918
ZIP Code 74522,P.O. Box,Alderson,Pittsburg,918
ZIP Code 74523,Standard,Antlers,Pushmataha,580
ZIP Code 74525,Standard,Atoka,Atoka,580
ZIP Code 74528,Standard,Blanco,Pittsburg,918
ZIP Code 74529,Standard,Blocker,Pittsburg,918
ZIP Code 74530,P.O. Box,Bromide,Johnston,580
ZIP Code 74531,Standard,Calvin,Hughes,405ÿ/ÿ580
ZIP Code 74533,Standard,Caney,Atoka,580
ZIP Code 74534,Standard,Centrahoma,Coal,580
ZIP Code 74535,P.O. Box,Clarita,Coal,580
ZIP Code 74536,Standard,Clayton,Pushmataha,918
ZIP Code 74538,Standard,Coalgate,Coal,580
ZIP Code 74543,Standard,Finley,Pushmataha,580
ZIP Code 74545,P.O. Box,Gowen,Latimer,918
ZIP Code 74546,P.O. Box,Haileyville,Pittsburg,918
ZIP Code 74547,Standard,Hartshorne,Pittsburg,918
ZIP Code 74549,Standard,Honobia,Le Flore,580ÿ/ÿ918
ZIP Code 74552,Standard,Kinta,Haskell,918
ZIP Code 74553,Standard,Kiowa,Pittsburg,918
ZIP Code 74554,P.O. Box,Krebs,Pittsburg,918
ZIP Code 74555,Standard,Lane,Atoka,580
ZIP Code 74556,P.O. Box,Lehigh,Coal,580
ZIP Code 74557,Standard,Moyers,Pushmataha,580
ZIP Code 74558,Standard,Nashoba,Pushmataha,918
ZIP Code 74559,P.O. Box,Panola,Latimer,918
ZIP Code 74560,Standard,Pittsburg,Pittsburg,918
ZIP Code 74561,Standard,Quinton,Pittsburg,918
ZIP Code 74562,Standard,Rattan,Pushmataha,580
ZIP Code 74563,Standard,Red Oak,Latimer,918
ZIP Code 74565,P.O. Box,Savanna,Pittsburg,918
ZIP Code 74567,Standard,Snow,Pushmataha,918
ZIP Code 74569,Standard,Stringtown,Atoka,580
ZIP Code 74570,Standard,Stuart,Hughes,918ÿ/ÿ405ÿ/ÿ580
ZIP Code 74571,Standard,Talihina,Latimer,918
ZIP Code 74572,Standard,Tupelo,Coal,580
ZIP Code 74574,Standard,Tuskahoma,Pushmataha,918
ZIP Code 74576,Standard,Wardville,Pittsburg,918
ZIP Code 74577,Standard,Whitesboro,Le Flore,580ÿ/ÿ918
ZIP Code 74578,Standard,Wilburton,Latimer,918
ZIP Code 74601,Standard,Ponca City,Kay,580
ZIP Code 74602,P.O. Box,Ponca City,Kay,580
ZIP Code 74604,Standard,Ponca City,Kay,580
ZIP Code 74630,Standard,Billings,Noble,580
ZIP Code 74631,Standard,Blackwell,Kay,580
ZIP Code 74632,Standard,Braman,Kay,580
ZIP Code 74633,Standard,Burbank,Osage,918ÿ/ÿ580
ZIP Code 74636,Standard,Deer Creek,Grant,580
ZIP Code 74637,Standard,Fairfax,Osage,918
ZIP Code 74640,Standard,Hunter,Garfield,580
ZIP Code 74641,Standard,Kaw City,Kay,580ÿ/ÿ918
ZIP Code 74643,Standard,Lamont,Grant,580
ZIP Code 74644,Standard,Marland,Noble,580
ZIP Code 74646,Standard,Nardin,Kay,580
ZIP Code 74647,Standard,Newkirk,Kay,580
ZIP Code 74650,Standard,Ralston,Pawnee,918
ZIP Code 74651,Standard,Red Rock,Noble,580
ZIP Code 74652,Standard,Shidler,Osage,918
ZIP Code 74653,Standard,Tonkawa,Kay,580
ZIP Code 74701,Standard,Durant,Bryan,580
ZIP Code 74702,P.O. Box,Durant,Bryan,580
ZIP Code 74720,P.O. Box,Achille,Bryan,580
ZIP Code 74721,P.O. Box,Albany,Bryan,580
ZIP Code 74722,P.O. Box,Battiest,Mccurtain,580
ZIP Code 74723,Standard,Bennington,Bryan,580
ZIP Code 74724,Standard,Bethel,Mccurtain,580
ZIP Code 74726,Standard,Bokchito,Bryan,580
ZIP Code 74727,Standard,Boswell,Choctaw,580
ZIP Code 74728,Standard,Broken Bow,Mccurtain,580
ZIP Code 74729,Standard,Caddo,Bryan,580
ZIP Code 74730,Standard,Calera,Bryan,580
ZIP Code 74731,Standard,Cartwright,Bryan,580
ZIP Code 74733,Standard,Colbert,Bryan,580
ZIP Code 74734,Standard,Eagletown,Mccurtain,580
ZIP Code 74735,Standard,Fort Towson,Choctaw,580
ZIP Code 74736,Standard,Garvin,Mccurtain,580
ZIP Code 74737,P.O. Box,Golden,Mccurtain,580
ZIP Code 74738,Standard,Grant,Choctaw,580
ZIP Code 74740,Standard,Haworth,Mccurtain,580
ZIP Code 74741,Standard,Hendrix,Bryan,580
ZIP Code 74743,Standard,Hugo,Choctaw,580
ZIP Code 74745,Standard,Idabel,Mccurtain,580
ZIP Code 74747,P.O. Box,Kemp,Bryan,580
ZIP Code 74748,Standard,Kenefic,Johnston,580
ZIP Code 74750,P.O. Box,Millerton,Mccurtain,580
ZIP Code 74752,P.O. Box,Pickens,Mccurtain,580
ZIP Code 74753,P.O. Box,Platter,Bryan,580
ZIP Code 74755,Standard,Rufe,Mccurtain,580
ZIP Code 74756,Standard,Sawyer,Choctaw,580
ZIP Code 74759,Standard,Soper,Choctaw,580
ZIP Code 74760,Standard,Spencerville,Choctaw,580
ZIP Code 74761,P.O. Box,Swink,Choctaw,580
ZIP Code 74764,Standard,Valliant,Mccurtain,580
ZIP Code 74766,Standard,Wright City,Mccurtain,580
ZIP Code 74801,Standard,Shawnee,Pottawatomie,405
ZIP Code 74802,P.O. Box,Shawnee,Pottawatomie,405
ZIP Code 74804,Standard,Shawnee,Pottawatomie,405
ZIP Code 74818,P.O. Box,Seminole,Seminole,405
ZIP Code 74820,Standard,Ada,Pontotoc,580
ZIP Code 74821,P.O. Box,Ada,Pontotoc,580
ZIP Code 74824,Standard,Agra,Lincoln,918
ZIP Code 74825,Standard,Allen,Pontotoc,580
ZIP Code 74826,Standard,Asher,Pottawatomie,405
ZIP Code 74827,Standard,Atwood,Hughes,580ÿ/ÿ405
ZIP Code 74829,Standard,Boley,Okfuskee,405ÿ/ÿ918
ZIP Code 74830,P.O. Box,Bowlegs,Seminole,405
ZIP Code 74831,Standard,Byars,Mcclain,405
ZIP Code 74832,Standard,Carney,Lincoln,405
ZIP Code 74833,Standard,Castle,Okfuskee,405ÿ/ÿ918
ZIP Code 74834,Standard,Chandler,Lincoln,405ÿ/ÿ918
ZIP Code 74836,P.O. Box,Connerville,Johnston,580
ZIP Code 74837,P.O. Box,Cromwell,Seminole,405
ZIP Code 74839,Standard,Dustin,Hughes,405
ZIP Code 74840,Standard,Earlsboro,Pottawatomie,405
ZIP Code 74842,P.O. Box,Fittstown,Pontotoc,580
ZIP Code 74843,Standard,Fitzhugh,Pontotoc,580
ZIP Code 74844,P.O. Box,Francis,Pontotoc,580
ZIP Code 74845,Standard,Hanna,Mcintosh,918
ZIP Code 74848,Standard,Holdenville,Hughes,405
ZIP Code 74849,Standard,Konawa,Seminole,580ÿ/ÿ405
ZIP Code 74850,Standard,Lamar,Hughes,918
ZIP Code 74851,Standard,Mcloud,Pottawatomie,405
ZIP Code 74852,Standard,Macomb,Pottawatomie,405
ZIP Code 74854,Standard,Maud,Pottawatomie,405
ZIP Code 74855,Standard,Meeker,Lincoln,405ÿ/ÿ918
ZIP Code 74856,Standard,Mill Creek,Johnston,580
ZIP Code 74857,Standard,Newalla,Cleveland,405
ZIP Code 74859,Standard,Okemah,Okfuskee,405ÿ/ÿ918
ZIP Code 74860,Standard,Paden,Okfuskee,405
ZIP Code 74864,Standard,Prague,Lincoln,405ÿ/ÿ918
ZIP Code 74865,Standard,Roff,Pontotoc,580
ZIP Code 74866,P.O. Box,Saint Louis,Pottawatomie,405
ZIP Code 74867,Standard,Sasakwa,Seminole,405ÿ/ÿ580
ZIP Code 74868,Standard,Seminole,Seminole,405
ZIP Code 74869,Standard,Sparks,Lincoln,405ÿ/ÿ918
ZIP Code 74871,Standard,Stonewall,Pontotoc,580
ZIP Code 74872,Standard,Stratford,Garvin,580
ZIP Code 74873,Standard,Tecumseh,Pottawatomie,405
ZIP Code 74875,Standard,Tryon,Lincoln,918
ZIP Code 74878,Standard,Wanette,Pottawatomie,405
ZIP Code 74880,Standard,Weleetka,Okfuskee,405ÿ/ÿ918
ZIP Code 74881,Standard,Wellston,Lincoln,405
ZIP Code 74883,Standard,Wetumka,Hughes,405
ZIP Code 74884,Standard,Wewoka,Seminole,405
ZIP Code 74901,Standard,Arkoma,Le Flore,918
ZIP Code 74902,Standard,Pocola,Le Flore,918
ZIP Code 74930,Standard,Bokoshe,Le Flore,918
ZIP Code 74931,Standard,Bunch,Adair,918
ZIP Code 74932,Standard,Cameron,Le Flore,918
ZIP Code 74935,P.O. Box,Fanshawe,Le Flore,918
ZIP Code 74936,Standard,Gans,Sequoyah,918
ZIP Code 74937,Standard,Heavener,Le Flore,918
ZIP Code 74939,Standard,Hodgen,Le Flore,918
ZIP Code 74940,Standard,Howe,Le Flore,918
ZIP Code 74941,Standard,Keota,Haskell,918
ZIP Code 74942,P.O. Box,Leflore,Le Flore,918
ZIP Code 74943,P.O. Box,Lequire,Haskell,918
ZIP Code 74944,Standard,Mccurtain,Haskell,918
ZIP Code 74945,P.O. Box,Marble City,Sequoyah,918
ZIP Code 74946,P.O. Box,Moffett,Sequoyah,918
ZIP Code 74947,P.O. Box,Monroe,Le Flore,918
ZIP Code 74949,Standard,Muse,Le Flore,918ÿ/ÿ580
ZIP Code 74951,P.O. Box,Panama,Le Flore,918
ZIP Code 74953,Standard,Poteau,Le Flore,918
ZIP Code 74954,Standard,Roland,Sequoyah,918
ZIP Code 74955,Standard,Sallisaw,Sequoyah,918
ZIP Code 74956,Standard,Shady Point,Le Flore,918
ZIP Code 74957,Standard,Smithville,Mccurtain,580ÿ/ÿ918
ZIP Code 74959,Standard,Spiro,Le Flore,918
ZIP Code 74960,Standard,Stilwell,Adair,918
ZIP Code 74962,Standard,Vian,Sequoyah,918
ZIP Code 74963,Standard,Watson,Mccurtain,580
ZIP Code 74964,Standard,Watts,Adair,918
ZIP Code 74965,Standard,Westville,Adair,918
ZIP Code 74966,Standard,Wister,Le Flore,918
